name,comment_id,reply_name,reply_text,source,text
穿啥裤子都往下掉,4091172630782744,是扛把子,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:你最傻,iPhone 6,回复<a href='http://m.weibo.cn/n/是扛把子'>@是扛把子</a>:智障
是扛把子,4091155438361670,穿啥裤子都往下掉,萨德是目前世界上最厉害的武器。因为它不仅仅可以发现导弹，还可以发现SB。,Android客户端,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:你最傻
没错我就是张小飞,4091119597862885,猫巷里的树语,希望政府能安顿中国员工吧。。,iPhone 5s,"回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:超市这东西是需求创造市场，不是市场创造需求好吗？乐天关了需求还在，自然有其他超市入驻。麻烦喷子们用点脑子，或者多读点书好嘛<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_miao-9ebe15b2c2.png"" style=""width:1em;height:1em;;""></span>"
喵星人吃猫罐头丶,4090993043170254,李小朴,棒子国有萨德，但中国有萨逼啊！谁怕谁啊！,魅蓝 E,回复<a href='http://m.weibo.cn/n/李小朴'>@李小朴</a>:图片评论 
灿烂木果果,4090989436605627,-,-,LG G3,"我们不是还有大统华，大润发嘛<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_miao-9ebe15b2c2.png"" style=""width:1em;height:1em;;""></span>"
溪边的快乐小树,4090418218080359,孔小孔1992,下岗下岗下岗你妹啊？国家到时候都没了你们还在为自己一些蝇头小利斤斤计较！告诉你们乐天没了肯定会有其他超市取而代之，这是市场规则，还一个个挺会说话的样子，傻x。,三星android智能手机,回复<a href='http://m.weibo.cn/n/孔小孔1992'>@孔小孔1992</a>:SB们在奉旨爱国，主子指谁就咬谁，无脑二哈一群。
这是一个人神探,4090371547880966,墨sang,所以失业的中国员工可以去央视上班吗？,iPhone 7,回复<a href='http://m.weibo.cn/n/墨sang'>@墨sang</a>:真的为某些人的奴性感到悲哀。乐天这么明显的一个事情，居然还会说出来那种话。人只要勤劳努力，哪里都能找到工作。而不是在这里bb。还国家得给你安排工作，你进乐天也是给你安排的？自己不会找工作？现在到处都是工作机会。没乐天你活不了？？？而且有些知识份子也说出了一些话，真是书读到狗身上了
终会有你,4090069633381972,-,-,iPhone 6s,"看看韩国人的态度<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span> <a href=""http://weibo.cn/sinaurl?f=w&amp;u=http%3A%2F%2Ft.cn%2FR6Xd9Bt"">http://t.cn/R6Xd9Bt</a>"
wawa抱抱,4090058002726999,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/wawa抱抱'>@wawa抱抱</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>我仇恨您这种垃圾人，就会扣帽子，曲解爷首条评论的意思，您主子又让您们来做狗腿子啦，停歇了几天，又梅毒复发啦，破鞋就不用（骂）操您们啦，别惹得犯花病，希您们一切安好。问好。",OPPO R9,回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:我不是什么狗腿子，学生而已，看过您的微博，有些对社会和政府不满，您也不用回复骂人了，我说的那句话有错吗，难道没有这样的法律吗？
市井边民,4090020141336709,溪上漂流,粉红蛆如愿以偿，然而它主子早已改变了态度，最近各种巴结美国,iPhone 6,回复<a href='http://m.weibo.cn/n/溪上漂流'>@溪上漂流</a>:去你妈的
TONY3093-李诚涌,4089978122486979,wawa抱抱,回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:您是在仇恨社会吗……,微博 weibo.com,"回复<a href='http://m.weibo.cn/n/wawa抱抱'>@wawa抱抱</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>我仇恨您这种垃圾人，就会扣帽子，曲解爷首条评论的意思，您主子又让您们来做狗腿子啦，停歇了几天，又梅毒复发啦，破鞋就不用（骂）操您们啦，别惹得犯花病，希您们一切安好。问好。"
wawa抱抱,4089977229257658,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/wawa抱抱'>@wawa抱抱</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>去您妈逼，您去比对一下本土有多少企业停业会依法给付薪资，您眼瞎啦，还是文盲，本土新闻看不到啦，您嘴巴再不干净将与您造假平台的主子一样病入膏肓，希您与您主子一切安好。问好。",OPPO R9,回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:您是在仇恨社会吗……
嶽QIA,4089974535768231,Kevin君格君格Durant,闹完之后，下岗的都是中国的员工,OPPO智能手机,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:放嫩妈了屁，中国没乐天中国员工都活不下去了？
嶽QIA,4089974163257836,-,-,OPPO智能手机,韩国照样部署萨德系统，不像你们，我照样进去逛，捏捏方便面，捏捏芒果，掰掰香蕉，掰掰面条，用小车推着最贵的冷冻食品，在超市逛半小时，临走角落一放，开开心心的回家了
小肉肉想见takuya,4089903895052807,西北王殿下,回复<a href='http://m.weibo.cn/n/小肉肉想见takuya'>@小肉肉想见takuya</a>:覆盖全世界又如何,iPhone 6s Plus,回复<a href='http://m.weibo.cn/n/西北王殿下'>@西北王殿下</a>:呵呵，好一个公知
西北王殿下,4089903559940806,小肉肉想见takuya,回复<a href='http://m.weibo.cn/n/西北王殿下'>@西北王殿下</a>:是啊，范围覆盖到北京啊，有问题吗？,三星 Galaxy S7 Edge,回复<a href='http://m.weibo.cn/n/小肉肉想见takuya'>@小肉肉想见takuya</a>:覆盖全世界又如何
你瞧你nss,4089890079239485,霍小伙,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:楼主挺住，我相信中国绝大多数人并不是萨德能探测到的，能探测到的那部分人智商也就这样了，反正他们不管，党让他们抵制什么，他们就抵制什么,OPPO R1C,"回复<a href='http://m.weibo.cn/n/霍小伙'>@霍小伙</a>:所以把你探测出来了啊<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tu-65768ccc23.png"" style=""width:1em;height:1em;;""></span>"
杜立臣,4089661468502971,-,-,Android客户端,有手有脚做什么事养活不了自己   生于忧患死于安乐
Charlotte_阿朦哥,4089486361109141,maliry98,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……,iPhone 7,回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:这评论充满力量  真心觉得团结是力量 不为倭寇所动 🐂
退休仁波切,4089474856262147,-,-,Smartisan T1,领导人多次讲话坚持自由贸易的原则，地方政府疯狂抵制乐天，怕马屁也
小草逢春_989,4089464487468743,-,-,iPhone 6 Plus(土豪金),"《中国、百姓》老百姓小事都是大事，官员们大事都是小事，老百姓都是法律法规，官员们就是权力私益。老百姓也是看天叫地，官员也是喝酒玩美女<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_baobao-48217db41a.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_baobao-48217db41a.png"" style=""width:1em;height:1em;;""></span>媒体给百姓说话是曝光，媒体给官员报道是新闻。媒体们需要工作生活，真的谁敢出来曝光呢？上访是玩耍老百姓时间生命到最后人死了，什么事都没了。"
aeseme,4089189051859827,-,-,Android客户端,你敢不要脸，我们的祖国就会耍流氓
遂宁宝贝,4089104214166172,-,-,红米3,滚出中国
S库里Cplus,4089100003399788,十分之79,"回复<a href='http://m.weibo.cn/n/S库里Cplus'>@S库里Cplus</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>你竟然看懂了。。。。",Android,"回复<a href='http://m.weibo.cn/n/十分之79'>@十分之79</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_wu-93aef02809.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_wu-93aef02809.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_wu-93aef02809.png"" style=""width:1em;height:1em;;""></span>"
327style韩宜珊,4089075017121408,,-,三星Galaxy NOTE III,"<a class='k' href='http://m.weibo.cn/k/中韩大战?from=feed'>#中韩大战#</a><a href='http://m.weibo.cn/n/头条新闻'>@头条新闻</a> <a href='http://m.weibo.cn/n/人民网'>@人民网</a> <a href='http://m.weibo.cn/n/央视新闻'>@央视新闻</a> <a href='http://m.weibo.cn/n/猫扑'>@猫扑</a> <a href='http://m.weibo.cn/n/人民日报'>@人民日报</a> <a href='http://m.weibo.cn/n/天涯杂谈'>@天涯杂谈</a> <a href='http://m.weibo.cn/n/大案'>@大案</a> <a href='http://m.weibo.cn/n/北京发布'>@北京发布</a> <a href='http://m.weibo.cn/n/联合国'>@联合国</a> <a href='http://m.weibo.cn/n/法制网'>@法制网</a> <a href='http://m.weibo.cn/n/中国普法'>@中国普法</a> <a href='http://m.weibo.cn/n/中国日报'>@中国日报</a> <a href='http://m.weibo.cn/n/正义网'>@正义网</a> <a href='http://m.weibo.cn/n/公安部打四黑除四害'>@公安部打四黑除四害</a> <a href='http://m.weibo.cn/n/凤凰卫视'>@凤凰卫视</a> <a href='http://m.weibo.cn/n/京华时报'>@京华时报</a> <a href='http://m.weibo.cn/n/中国之声'>@中国之声</a> 此时此刻北京市大兴区旧宫镇政府，好好查处到底多少老虎苍蝇祸害本地民不聊生如此的!<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ruo-4d7ee42fd0.png"" style=""width:1em;height:1em;;""></span> ​​​"
七公主妈妈,4089009715700896,黄有啷个帅吗,回复<a href='http://m.weibo.cn/n/七公主妈妈'>@七公主妈妈</a>:我很扎心阿，我同学没考上大学，到战火纷飞的缅甸卖盒饭，都从来没有抱怨祖国没给安置工作的事情，我妈以前厂倒闭了，下岗了也没抱怨，一直感激国家带来的，至少衣食无忧，我们有书可读，夫复何求。,OPPO智能手机,回复<a href='http://m.weibo.cn/n/黄有啷个帅吗'>@黄有啷个帅吗</a>:现在很多人键盘治国的，不懂感恩，我父辈长期和我说，我们在这国土上的每一寸土地都有烈士的血，我们的平安是无战争是那么多生命换来的，不说为国家做贡献，至少不会辱骂！
哈韩狗原地爆炸,4088942048916887,今天是个大晴天呢,回复<a href='http://m.weibo.cn/n/孔小孔1992'>@孔小孔1992</a>:没了好我想成为美国人省的移民了,iPhone 7,回复<a href='http://m.weibo.cn/n/今天是个大晴天呢'>@今天是个大晴天呢</a>:现在就可以滚
哈韩狗原地爆炸,4088941764916251,天国的龙娇天,"回复<a href='http://m.weibo.cn/n/孔小孔1992'>@孔小孔1992</a>:真当自己共产主义接班人。准备上天安门城楼是不是。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",iPhone 7,回复<a href='http://m.weibo.cn/n/天国的龙娇天'>@天国的龙娇天</a>:滚吧，不喜欢中国可以滚啊
空镜子22569,4088929810540197,-,-,荣耀畅玩4X·快科技,别一说关闭乐天就拿下岗说事，人只要想自己养活自己就会有工作做。
田心彳亍_,4088928795983263,杨梵希全国总代,回复<a href='http://m.weibo.cn/n/田心彳亍_'>@田心彳亍_</a>:那你敲锣打鼓去支持萨德啊,微博手机版,回复<a href='http://m.weibo.cn/n/杨梵希全国总代'>@杨梵希全国总代</a>:必须要支持。万一朝鲜不听话，中国还真得靠韩国的萨德保护自己了。。。
淼啊淼880,4088904112324786,羞涩的起哄架秧子星人,"算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",OPPO R9s,"回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:来看sb，哥们没少上知乎吧<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>"
杯子是蓝条纹的,4088815964584145,丨莫不是丨,很多人莫名其妙，员工干不下去还得怪政府？！乐天本来就是来赚钱的，盈亏自付。你企业因为不满足国家标准给关停了，你还要国家给你补钱？？！莫名其妙！另外，这种事情不怪乐天怪政府，脑子有坑？？！,vivo智能手机,回复<a href='http://m.weibo.cn/n/丨莫不是丨'>@丨莫不是丨</a>:<a href='http://m.weibo.cn/n/三观你妈啊三观'>@三观你妈啊三观</a> 我让我家大黄强你全家
sally打酱油的小孩,4088772666595508,Pilot舒克,回复<a href='http://m.weibo.cn/n/sally打酱油的小孩'>@sally打酱油的小孩</a>:搞得换工作就和敲键盘一样,iPhone 6s,回复<a href='http://m.weibo.cn/n/Pilot舒克'>@Pilot舒克</a>:搞得在乐天上班多么高大上一样，没有乐天中国就买不到东西，中国人找不到工作？
静玄大爷,4088758984627656,-,-,iPhone 6s,讲真我们这三线城市商场常年招聘超市都招不够人，担心别人失业的别操心了
梦始于夜终于明,4088753322443402,Cressida彦伶5O,回复<a href='http://m.weibo.cn/n/Alex同时到达终点'>@Alex同时到达终点</a>:中国社会底层人员基数大，他们普遍学历低，视野狭隘，生活圈子小，不了解外面的世界，政府长期愚民教育和洗脑宣传下，看问题视角自然肤浅幼稚流于表面化！乐天事件深层次负面影响在于日后所有外资都会重新评价在中国投资的政治风险，法治环境，投资结构比率和项目以及技术含量分类评估，不利于中国经济,iPhone 6,回复<a href='http://m.weibo.cn/n/Cressida彦伶5O'>@Cressida彦伶5O</a>:你的视野很宽阔啊，连正反两方面都分析不清楚，你就别在这丢人现眼了。还政治风险，我他么还国家安全呢？
SOS2333,4088718476775364,-,-,微博 weibo.com,我说的上边造的孽，下边人倒霉可不只是韩国。各个国家都是上边造的孽，下边人倒霉。懂？？？
刷卡不如刷存在,4088693855819797,-,-,小米手机5,"看热闹的永远不嫌事大，你好，欢迎来到中国<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>"
刷卡不如刷存在,4088693125448682,杨梵希全国总代,失业的中国人可以再找工作，远比韩狗赚着中国人的钱，买着萨德对准中国要强的多，那些员工的工资影响的了韩国花钱整萨德对准中国吗？但一天1千多亿韩元损失是个小小的打击吧！个人意见，喷子狗千万别点我回复我！,小米手机5,回复<a href='http://m.weibo.cn/n/杨梵希全国总代'>@杨梵希全国总代</a>:是每月1000多亿韩元思密达
恩吉尼尔,4088644115261771,养乐多的小媳妇,回复<a href='http://m.weibo.cn/n/恩吉尼尔'>@恩吉尼尔</a>:不好意思我不知道，但是如果因为一个信息错误就说别人秀逗，不好意思，你蹲下自己吠吧！,红米4,回复<a href='http://m.weibo.cn/n/养乐多的小媳妇'>@养乐多的小媳妇</a>:人傻钱多速来
养乐多的小媳妇,4088642656525179,恩吉尼尔,那些失业的人怎么办呀,iPhone 7 Plus,回复<a href='http://m.weibo.cn/n/恩吉尼尔'>@恩吉尼尔</a>:不好意思我不知道，但是如果因为一个信息错误就说别人秀逗，不好意思，你蹲下自己吠吧！
在路上MQ,4088618005653596,-,-,iPhone 6,这么说当年的问题奶粉问题药厂都不应该关停啊～多少人失业！
杯子是蓝条纹的,4088604701612480,三观你妈啊三观,回复<a href='http://m.weibo.cn/n/丨莫不是丨'>@丨莫不是丨</a>:你妈逼有毒生了你脑子有梅毒,vivo智能手机,回复<a href='http://m.weibo.cn/n/三观你妈啊三观'>@三观你妈啊三观</a>:果然三观不对，脑子被韩国人踢了吧？
最爱爬爬虾,4088592621481010,铁饭碗端不动,回复<a href='http://m.weibo.cn/n/最爱爬爬虾'>@最爱爬爬虾</a>:你能抵制韩国的乐天我佩服你，可你抵制的中国乐天和中国沃尔玛一样，除了老板国籍不同，都是国人卖国货且向中国交税的本土超市。乐天大老板人是韩国籍但说日语，正被韩国整，你可能连自己在抗韩还是在抗日都没搞明白。,荣耀6,回复<a href='http://m.weibo.cn/n/铁饭碗端不动'>@铁饭碗端不动</a>:就你知道韩国乐天的起源？
327style韩宜珊,4088584778616046,-,-,三星Galaxy NOTE III,图片评论 
327style韩宜珊,4088584673792294,,-,三星Galaxy NOTE III,"<a class='k' href='http://m.weibo.cn/k/中韩大战?from=feed'>#中韩大战#</a><a href='http://m.weibo.cn/n/头条新闻'>@头条新闻</a> <a href='http://m.weibo.cn/n/人民网'>@人民网</a> <a href='http://m.weibo.cn/n/央视新闻'>@央视新闻</a> <a href='http://m.weibo.cn/n/猫扑'>@猫扑</a> <a href='http://m.weibo.cn/n/人民日报'>@人民日报</a> <a href='http://m.weibo.cn/n/天涯杂谈'>@天涯杂谈</a> <a href='http://m.weibo.cn/n/大案'>@大案</a> <a href='http://m.weibo.cn/n/北京发布'>@北京发布</a> <a href='http://m.weibo.cn/n/联合国'>@联合国</a> <a href='http://m.weibo.cn/n/法制网'>@法制网</a> <a href='http://m.weibo.cn/n/中国普法'>@中国普法</a> <a href='http://m.weibo.cn/n/中国日报'>@中国日报</a> <a href='http://m.weibo.cn/n/正义网'>@正义网</a> <a href='http://m.weibo.cn/n/公安部打四黑除四害'>@公安部打四黑除四害</a> <a href='http://m.weibo.cn/n/凤凰卫视'>@凤凰卫视</a> <a href='http://m.weibo.cn/n/京华时报'>@京华时报</a> <a href='http://m.weibo.cn/n/中国之声'>@中国之声</a> 此时此刻北京市大兴区旧宫镇政府，好好查处到底多少老虎苍蝇祸害本地民不聊生如此的!<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ruo-4d7ee42fd0.png"" style=""width:1em;height:1em;;""></span> ​​​"
327style韩宜珊,4088581763067633,-,-,三星Galaxy NOTE III,图片评论 
最爱爬爬虾,4088577514037674,铁饭碗端不动,回复<a href='http://m.weibo.cn/n/最爱爬爬虾'>@最爱爬爬虾</a>:你能抵制韩国的乐天我佩服你，可你抵制的中国乐天和中国沃尔玛一样，除了老板国籍不同，都是国人卖国货且向中国交税的本土超市。乐天大老板人是韩国籍但说日语，正被韩国整，你可能连自己在抗韩还是在抗日都没搞明白。,荣耀6,回复<a href='http://m.weibo.cn/n/铁饭碗端不动'>@铁饭碗端不动</a>:哈哈，没有韩国在中国的乐天，中国产品就卖不出去了？没有技术含量的外国企业都可以滚，包括可口可乐等。没有韩国乐天，可以有家乐福，欧尚，华润万家，王府井…
从倩勤韩,4088577291782202,-,-,微博 weibo.com,这个可肿么办
宜者极这,4088574834210608,-,-,微博 weibo.com,我是来看热闹的  自带被子枕头  看你们闹腾
天常拉治,4088573693189382,-,-,微博 weibo.com,哈哈啊  搬个板凳来看热闹
甜橙3399,4088568634873152,甜橙3399,抵制乐天  并不能真正上做点什么  我们都是普通大众  不能一言安定国家大事  如果我们寻常百姓能够  以此来表明我们国家上下一心  可以让世界看看古老大国  国家没有让我们做什么   但求不要有人当卖国的就好了,联想黄金斗士A8,"回复<a href='http://m.weibo.cn/n/甜橙3399'>@甜橙3399</a>:支持祖国<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span>"
甜橙3399,4088568252924353,-,-,联想黄金斗士A8,抵制乐天  并不能真正上做点什么  我们都是普通大众  不能一言安定国家大事  如果我们寻常百姓能够  以此来表明我们国家上下一心  可以让世界看看古老大国  国家没有让我们做什么   但求不要有人当卖国的就好了
甜橙3399,4088565333902990,-,-,联想黄金斗士A8,我们这个名族要改变思想   应该多从自身找原因  积极向上的价值观  就以婚嫁为例 攀比之心深深在人们的脑海   真正上变成败了大家成了小家    如果不以苹果来攀比  那么苹果能否在中国如此畅销
甜橙3399,4088565304214595,-,-,联想黄金斗士A8,一切的罪恶都来自于美国     另外日本这个名族只有见到国家血流成河才会畏缩 才会怕    在中国沿海地区   特别是经济发达的地方    对日本的文化  产品的态度样样都是好   以前跟一个朋友谈起日本他说的是日本是令人向往的地方  跟洗脑了一样
大家好6147346231,4088552717493922,章大人GMAT,这么恶劣的投资环境，还有外企会来吗？,YunOS,回复<a href='http://m.weibo.cn/n/章大人GMAT'>@章大人GMAT</a>:乐天爱人家的国，你就不爱自已国么？没有国家的安全，那里会有你小家的安全，你脑子进水了吧1
害虫断桥,4088545712914412,黄太子老师,回复<a href='http://m.weibo.cn/n/害虫断桥'>@害虫断桥</a>:你神经病吧,iPhone 6,回复<a href='http://m.weibo.cn/n/黄太子老师'>@黄太子老师</a>:你智障吧？
-小人-君,4088542382596396,章大人GMAT,这么恶劣的投资环境，还有外企会来吗？,iPhone 6s,回复<a href='http://m.weibo.cn/n/章大人GMAT'>@章大人GMAT</a>:水平太低了，下一个
-小人-君,4088542223205969,-,-,iPhone 6s,"不懂有些东西，一天天的嫌国家太安定了，总要说点什么不经大脑的激起一点水花才开心<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>"
Dragold,4088535927830838,-,-,OPPO智能手机,该
恩吉尼尔,4088533084518639,烟嗓阿一,回复<a href='http://m.weibo.cn/n/恩吉尼尔'>@恩吉尼尔</a>:没了乐天我中华人民不活了？活不下去了？,红米4,回复<a href='http://m.weibo.cn/n/烟嗓阿一'>@烟嗓阿一</a>:打住 不讨论这个了
xiaoting肖婷,4088517552911078,猫巷里的树语,希望政府能安顿中国员工吧。。,够快才畅快vivo X6S,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:傻。。。。
烟嗓老仙女,4088489853134629,恩吉尼尔,回复<a href='http://m.weibo.cn/n/烟嗓阿一'>@烟嗓阿一</a>:好像你们 才是键盘侠吧。你们抵制乐天，让很多同胞失业，这种拙劣的抵制方式就能阻止萨德不会部署了？,魅蓝 5,回复<a href='http://m.weibo.cn/n/恩吉尼尔'>@恩吉尼尔</a>:没了乐天我中华人民不活了？活不下去了？
TONY3093-李诚涌,4088477379131843,风儿向着好花吹,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:着急了？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span>",微博 weibo.com,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span>垃圾，有您好受的，火会烧死您丫的身体，哈哈哈"
TONY3093-李诚涌,4088477097932160,风儿向着好花吹,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:着急了？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span>",微博 weibo.com,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span>垃圾，您还活得自在啦，哈哈哈……"
风儿向着好花吹,4088475218857630,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>本事就是留给您这些垃圾，有您好受，记住啦，别以为躲在屏幕后就没事，您记好啦，垃圾！",荣耀7 世界有点不同,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:着急了？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span>"
TONY3093-李诚涌,4088474900396606,风儿向着好花吹,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:哦哟  挺有本事<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",微博 weibo.com,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>本事就是留给您这些垃圾，有您好受，记住啦，别以为躲在屏幕后就没事，您记好啦，垃圾！"
